FeatureID,Name,Formula,calc_mw,mz,rt,annot_source,Annot. Source: mzVault Search
Feature2082,NA,C18 H33 N O2,295.25095,296.25822,19.35,NA,No results
Feature2081,NA,C30 H62 N5 O4 P S,619.429,620.43628,20.233,NA,No results
Feature2080,NA,C7 H14 N2 O3,174.10032,175.1076,1.695,NA,No results
Feature2079,Isobutyric acid,C4 H8 O2,88.05239,89.05966,3.376,mzCloud,No results
Feature2078,NA,C21 H27 N5 O,365.21997,366.22725,16.803,NA,No results
Feature2077,2-Aminoadipic acid,C6 H11 N O4,144.04215,162.07598,1.484,mzCloud,No results
Feature2076,NA,C10 H19 N O3,201.13629,202.14357,13.3,NA,No results
Feature2075,NA,C22 H35 N7 O9,541.24943,542.25671,6.646,NA,No results
Feature2074,NA,C4 H8 N10,196.09344,197.10073,1.133,NA,No results
Feature2073,NA,C12 H21 N O2,211.15705,212.16432,15.694,NA,No results
Feature2072,NA,C12 H24 N2 O8,324.15307,325.16034,1.057,NA,No results
Feature2071,NA,C33 H27 N7 O2 P2,615.16899,616.17627,17.146,NA,No results
Feature2070,NA,C25 H52 N2 O2,412.40247,413.40974,19.091,NA,No results
Feature2069,NA,C9 H O12 P3,393.8665,394.87377,1.118,NA,No results
Feature2068,NA,C20 H37 N O6,387.26181,388.26909,16.121,NA,No results
Feature2067,NA,C26 H53 N O8,507.37665,508.38397,19.619,NA,No results
Feature2066,NA,C5 H8,68.06256,86.09639,4.201,NA,No results
Feature2065,NA,C12 H23 N O3,229.16761,230.17489,15.695,NA,No results
Feature2064,N-(9-oxodecyl)acetamide,C12 H23 N O2,213.17269,214.17997,15.844,mzCloud,No results
Feature2063,NA,C20 H30 O2,302.22436,303.23164,20.151,NA,No results
Feature2062,NA,C9 H2 Cl O15 P3,477.82782,478.83509,1.121,NA,No results
Feature2061,NA,NA,189.90446,190.91173,1.12,NA,No results
Feature2060,NA,C16 H26 N6 O3,350.20675,351.21403,17.751,NA,No results
Feature2059,NA,NA,103.99591,105.00318,0.977,NA,No results
Feature2058,NA,C11 H20 O4,216.13596,217.14324,15.667,NA,No results
Feature2057,NA,NA,97.97679,98.98407,1.247,NA,No results
Feature2056,NA,C26 H36 N10 O6,584.28033,585.2876,9.628,NA,No results
Feature2055,NA,C18 H30 O,262.22949,280.26332,19.358,NA,No results
Feature2054,Cytidine,C9 H13 N3 O5,486.17071,487.17799,2.301,mzCloud,No results
Feature2053,a-Pyrrolidinohexanophenone,C16 H23 N O,245.17366,246.18094,1.163,mzCloud,No results
Feature2052,NA,C9 H14 O3,170.09414,188.12795,10.177,NA,No results
Feature2051,δ-Valerolactam,C5 H9 N O,82.04176,100.07558,1.561,mzCloud,No results
Feature2050,NA,C18 H37 N O4,331.27196,354.26117,19.472,NA,No results
Feature2049,NA,C24 H45 N O6,443.32428,444.33156,20.181,NA,No results
Feature2048,NA,C4 H8 N8,168.08731,169.09463,1.073,NA,No results
Feature2047,NA,C12 H24 O8,296.14689,314.18072,9.895,NA,No results
Feature2046,NA,C11 H15 N O10,321.06935,322.07662,4.788,NA,No results
Feature2045,NA,C4 H N4 O7 P3,309.90524,310.91252,1.114,NA,No results
Feature2044,NA,C18 H24 O2,272.17747,273.18474,17.994,NA,No results
Feature2043,NA,C18 H30 O3,294.21932,295.22665,19.901,NA,No results
Feature2042,Bis(4-ethylbenzylidene)sorbitol,C24 H30 O6,414.20399,415.21127,18.099,mzCloud,No results
Feature2041,DL-Stachydrine,C7 H13 N O2,143.09449,144.10176,1.553,mzCloud,No results
Feature2040,NA,C18 H33 N O2,295.25091,296.25818,19.795,NA,No results
Feature2039,DL-Stachydrine,C7 H13 N O2,126.06796,144.10178,1.553,mzCloud,No results
Feature2038,NA,C18 H37 N O2,299.28227,300.28955,18.504,NA,No results
Feature2037,NA,C20 H35 N O5,369.25128,370.25856,17.102,NA,No results
Feature2036,NA,C18 H33 N O,279.25608,280.26335,19.63,NA,No results
Feature2035,NP-001346,C11 H15 N5 O3 S,297.08934,298.09662,9.15,mzCloud,No results
Feature2034,NA,C6 H11 O8 P,242.01893,260.05275,1.243,NA,No results
Feature2033,Proline,C5 H9 N O2,115.0632,116.07047,9.794,mzCloud,No results
Feature2032,NA,C18 H28 O3,292.20361,310.23744,17.288,NA,No results
Feature2031,NA,C20 H33 N O4,351.24078,352.24806,17.097,NA,No results
Feature2030,Guanine,C5 H5 N5 O,134.02271,152.05654,6.544,mzCloud,No results
Feature2029,NA,C6 H11 N3 O3,173.07969,212.04285,1.353,NA,No results
Feature2028,NA,C6 H11 N4 O7 P,282.03792,283.0452,1.187,NA,No results
Feature2027,NA,NA,769.84268,770.84995,1.107,NA,No results
Feature2026,NA,C20 H34 O5 S2,418.18316,419.19044,18.153,NA,No results
Feature2025,NA,C18 H32 O5,328.22478,351.21399,17.96,NA,No results
Feature2024,NA,C17 H26 O2,262.1931,263.20038,17.995,NA,No results
Feature2023,Uracil,C4 H4 N2 O2,112.02715,113.03443,4.748,mzCloud,No results
Feature2022,NA,C18 H33 N O,279.25602,280.2633,19.543,NA,No results
Feature2021,NA,C20 H42 N2 O,326.32959,327.33687,17.414,NA,No results
Feature2020,NA,C29 H40 O6,484.28225,485.28954,20.641,NA,No results
Feature2019,NA,C23 H30 N3 O2 P S,443.17837,444.18565,16.774,NA,No results
Feature2018,NA,C30 H61 N7 O9,663.45535,664.46263,20.241,NA,No results
Feature2017,NA,C11 H5 N2 O14 P3 S,513.86735,514.87462,1.113,NA,No results
Feature2016,Kanosamine,C6 H13 N O5,201.06355,202.07082,5.847,mzCloud,No results
Feature2015,"N3,N4-Dimethyl-L-arginine",C8 H18 N4 O2,202.14277,203.15005,1.53,mzCloud,No results
Feature2014,NA,C9 H14 N2 O12 P2,404.0018,405.00907,1.527,NA,No results
Feature2013,NA,C12 H21 N5 O5,315.15417,316.16145,2.689,NA,No results
Feature2012,NA,C13 H23 N3 O5,301.16352,302.17079,7.287,NA,No results
Feature2011,NA,C8 H12 N2 O2,168.08976,169.09704,7.62,NA,No results
Feature2010,NA,C6 H14 N2 O7 S,258.05192,259.0592,1.214,NA,No results
Feature2009,NA,C8 H4 N6 O17 P2 S2,581.85478,582.86205,1.112,NA,No results
Feature2008,NA,C5 H11 N O5 S,197.03567,198.04295,1.348,NA,No results
Feature2007,NA,C9 H15 N O4,201.09996,202.10723,5.894,NA,No results
Feature2006,NA,C15 H32 N9 O P,385.2462,386.25348,17.297,NA,No results
Feature2005,NP-017061,C20 H30 O4,351.24078,352.24806,16.476,mzCloud,No results
Feature2004,NA,C4 H7 N,69.05782,70.06509,1.47,NA,No results
Feature2003,NA,C9 H15 N O2,169.11023,170.1175,11.841,NA,No results
Feature2002,NA,C6 H O10 P3,325.87921,326.88649,1.118,NA,No results
Feature2001,NA,C11 H16 O2,180.11484,198.14867,13.894,NA,No results
Feature2000,NA,C19 H33 N O6,371.23065,372.23793,16.684,NA,No results
Feature1999,NA,C12 H19 N3 O5,285.13231,286.13959,3.28,NA,No results
Feature1998,NA,C7 H14 O6,194.07889,212.11272,2.126,NA,No results
Feature1997,NA,C8 H14 N2 O7 P2,312.02831,313.03559,1.078,NA,No results
Feature1996,NA,C7 H9 N O4,171.05298,189.08681,1.375,NA,No results
Feature1995,NA,C7 H10 N2 O4,186.06382,204.09765,1.502,NA,No results
Feature1994,NA,C18 H26 O3,290.18802,291.1953,17.635,NA,No results
Feature1993,NA,C20 H33 N O6,383.23054,384.23782,17.212,NA,No results
Feature1992,NA,C10 H8 N8 O2,272.07681,273.08409,3.312,NA,No results
Feature1991,NA,C11 H13 N O3 S,239.0614,240.06868,15.144,NA,No results
Feature1990,NA,C4 H11 O6 P,186.02915,187.03643,1.506,NA,No results
Feature1989,NA,C5 H5 N5 O4,199.03317,200.04045,1.126,NA,No results
Feature1988,NA,C18 H29 N O5,339.20441,340.21169,15.887,NA,No results
Feature1987,NA,C8 H17 N O2,159.12579,160.13306,10.442,NA,No results
Feature1986,NA,C H4 O4 P2 S,173.93055,174.93782,1.116,NA,No results
Feature1985,[Similar to: N-Acetylneuraminic acid; ΔMass: -36.0213 Da],C11 H15 N O7,273.08468,274.09196,1.449,NA,No results
Feature1984,NA,C8 H10 O2,138.06796,156.10179,10.177,NA,No results
Feature1983,NA,C18 H26 O3,290.188,291.19527,17.995,NA,No results
Feature1982,NA,C6 H15 O8 P,246.05021,247.05749,1.361,NA,No results
Feature1981,NA,C6 H2 Cl O13 P3,409.84046,410.84774,1.121,NA,No results
Feature1980,NA,C7 H7 N O6 S,232.99923,234.00651,8.619,NA,No results
Feature1979,NA,C4 H9 N,71.07347,72.08076,0.98,NA,No results
Feature1978,NA,C9 H17 N O2,171.12586,172.13314,11.946,NA,No results
Feature1977,NP-013736,C10 H16 N2 O2,179.09441,197.12823,10.076,mzCloud,No results
Feature1976,NA,C13 H4 N8 O18 P2 S3,717.82937,718.83665,1.111,NA,No results
Feature1975,NA,C14 H28 O9,340.17309,358.20692,10.51,NA,No results
Feature1974,12-Oxo phytodienoic acid,C18 H28 O3,274.19311,275.20039,18.101,mzCloud,No results
Feature1973,NA,C7 H17 N O6,211.10541,212.11269,2.125,NA,No results
Feature1972,NA,C13 H5 N4 O12 P3 S3,597.82871,598.83599,1.116,NA,No results
Feature1971,NA,C7 H N8 O11 P3 S2,529.84131,530.84858,1.117,NA,No results
Feature1970,"9S,13R-12-Oxophytodienoic acid",C18 H28 O3,292.20365,293.21092,18.102,mzCloud,No results
Feature1969,NA,C11 H22 N6 O4,302.17001,303.17728,1.179,NA,No results
Feature1968,NA,C22 H4 O16 P2 S2,649.84214,650.84942,1.112,NA,No results
Feature1967,NA,C20 H37 N O5,371.26694,372.27422,17.556,NA,No results
Feature1966,Pyridoxine,C8 H11 N O3,169.07384,170.08112,8.145,mzCloud,No results
Feature1965,"3-(2,3-dihydro-1-benzofuran-5-yl)-1-isopropyldihydro-2,4(1H,3H)-pyrimidinedione",C15 H18 N2 O3,257.10835,275.14218,10.81,mzCloud,No results
Feature1964,NA,C8 H14 N2 O4,202.09519,203.10246,4.724,NA,No results
Feature1963,NA,C18 H30 O4,310.21423,311.2215,17.96,NA,No results
Feature1962,NA,C18 H24 O2,272.17746,273.18473,17.636,NA,No results
Feature1961,NA,NA,85.9854,86.992679999999993,0.977,NA,No results
Feature1960,NA,C18 H33 N O2,295.25093,296.25819,19.97,NA,No results
Feature1959,EPK,C16 H28 N4 O6,169.07372,187.10755,1.545,mzCloud,No results
Feature1958,NA,C25 H33 N O6 S,475.20456,476.21183,16.773,NA,No results
Feature1957,NA,C9 H14 N2 O12 P2,404.00188000000003,405.00915,1.598,NA,No results
Feature1956,NA,C20 H33 N O5,367.23564,368.24292,17.296,NA,No results
Feature1955,NA,C18 H34 O5,330.24039,331.24768,17.035,NA,No results
Feature1954,NA,C15 H33 N3 O5 P2 S,429.16273,430.17001,17.094,NA,No results
Feature1953,Cyclo(leucylprolyl),C11 H18 N2 O2,210.13662,211.1439,12.069,mzCloud,No results
Feature1952,NA,C13 H27 N8 O5 P,406.18488,407.19216,9.624,NA,No results
Feature1951,NA,C12 H23 N4 O7 P,366.13174,367.13901,1.222,NA,No results
Feature1950,NA,C13 H24 N6 O4,328.18562,329.19288,1.561,NA,No results
Feature1949,NA,C11 H21 N5 O5,303.15402,304.16129,1.197,NA,No results
Feature1948,NA,C6 H5 N O3 S,170.99895,172.00623,10.119,NA,No results
Feature1947,5-Hydroxylysine,C6 H14 N2 O3,145.07375,146.08107,1.056,mzCloud,No results
Feature1946,NA,C8 H12 O2,140.08361,158.11744,10.252,NA,No results
Feature1945,NA,C8 H15 N4 O6 P S,326.04396,327.05124,1.077,NA,No results
Feature1944,NA,C6 H18 N2 P2 S,212.06738000000001,213.07466,1.126,NA,No results
Feature1943,NA,C12 H20 O3,212.14103,230.17485,14.584,NA,No results
Feature1942,NA,C14 H22 N4 O6,342.15374,343.16102,3.398,NA,No results
Feature1941,NA,C14 H17 N5 O8,383.10744,384.11472,8.589,NA,No results
Feature1940,"1,4a-dimethyl-9-oxo-7-(propan-2-yl)-1,2,3,4,4a,9,10,10a-octahydrophenanthrene-1-carboxylic acid",C20 H26 O3,336.16427,337.17155,1.195,mzCloud,No results
Feature1939,NA,C15 H9 O18 P3 S3,665.81615,666.82343,1.117,NA,No results
Feature1938,NA,C20 H31 N O5,365.22002,366.22729,16.264,NA,No results
Feature1937,NA,C12 H29 N4 O P,276.20868,277.21596,17.035,NA,No results
Feature1936,NA,C31 H53 N5 O5,575.40293,576.41021,20.226,NA,No results
Feature1935,NP-011220,C11 H18 N2 O2,210.13664,211.14391,11.796,mzCloud,No results
Feature1934,NA,C8 H13 N8 O P,268.09384,269.10112,6.294,NA,No results
Feature1933,NA,C22 H28 O5 S,404.16754,405.17482,17.962,NA,No results
Feature1932,NA,C7 H13 N3 O4,203.09032,204.0976,1.502,NA,No results
Feature1931,NA,C4 H10 N3 O5 P,211.03561,212.04289,1.355,NA,No results
Feature1930,NA,C20 H33 N O5 S2,431.17835,432.18562,16.122,NA,No results
Feature1929,"1-(4-methyl-2-pyridyl)pyrrolidine-2,5-dione",C10 H10 N2 O2,190.06924,191.07651,1.072,mzCloud,No results
Feature1928,NA,C4 H5 N O,83.03705,84.04433,1.286,NA,No results
Feature1927,NA,C18 H28 O4,308.19859,309.20587,17.992,NA,No results
Feature1926,NA,C21 H29 N5 O2,383.23056,384.23784,15.215,NA,No results
Feature1925,NA,C8 H13 N O6,219.07409,220.08137,1.235,NA,No results
Feature1924,NA,NA,118.01154,119.01881,0.977,NA,No results
Feature1923,NA,C14 H23 N3 O6,329.15853,330.1658,9.656,NA,No results
Feature1922,α-Methylhistamine,C6 H11 N3,108.06864,126.10247,1.035,mzCloud,No results
Feature1921,NA,C14 H5 N6 O18 P3 S3,733.80322,734.81049,1.114,NA,No results
Feature1920,NA,C4 H5 N6 O18 P3 S3,613.8026,614.80988,1.12,NA,No results
Feature1919,NA,C24 H53 N10 O7 P,624.38447,625.39174,20.235,NA,No results
Feature1918,NA,C3 H7 N3 O2,117.05368,118.06095,1.283,NA,No results
Feature1917,NA,C13 H24 N2 O,224.18869,225.19596,17.276,NA,No results
Feature1916,NA,C16 H37 N3 P2 S,365.22001,366.22729,16.91,NA,No results
Feature1915,NA,C11 H13 N O2 S2,255.03854,256.04582,16.141,NA,No results
Feature1914,NA,C11 H15 N3 O6,285.09578,324.05892,1.559,NA,No results
Feature1913,NA,C11 H21 N O4,231.14687,232.15414,7.61,NA,No results
Feature1912,NA,C8 H13 N O5,203.07919,204.08647,1.493,NA,No results
Feature1911,NA,C18 H30 O2,278.22437,279.23165,17.934,NA,No results
Feature1910,NA,C11 H19 N3 O7 S2,369.06616,370.07344,1.45,NA,No results
Feature1909,NA,C9 H9 O13 P3 S4,545.81532,546.82259,1.12,NA,No results
Feature1908,NA,C6 H10 O5,162.05267,163.05995,1.558,NA,No results
Feature1907,NA,C7 H11 N3 O3,185.07992,186.0872,2.286,NA,No results
Feature1906,UDP-N-acetylglucosamine,C17 H27 N3 O17 P2,607.08114,608.08842,1.546,mzCloud,No results
Feature1905,NA,C14 H18 N2 O4,278.12652,279.1338,8.269,NA,No results
Feature1904,NA,C14 H30 N4 O2,286.23659,287.24387,1.557,NA,No results
Feature1903,NA,C7 H20 N2 O5 P2 S,306.05807,307.06534,11.337,NA,No results
Feature1902,NA,C20 H35 N O5,369.25125,370.25853,16.123,NA,No results
Feature1901,NA,C18 H30 O5,326.20918,327.21646,17.634,NA,No results
Feature1900,N-(4-{(R)-Hydroxy[(3R)-4-(4-methoxybenzyl)-5-oxo-3-morpholinyl]methyl}phenyl)-4-(2-methyl-2-propanyl)benzamide,C30 H34 N2 O5,484.2279,485.23518,6.765,mzCloud,No results
Feature1899,NA,C35 H68 N9 P3,707.48144,708.48872,20.247,NA,No results
Feature1898,NA,C16 H21 N3 O5,335.14801,336.15529,8.302,NA,No results
Feature1897,NA,C17 H29 N5 O6,399.21139,400.21866,7.694,NA,No results
Feature1896,NA,C10 H19 N O3,201.13629,202.14357,10.741,NA,No results
Feature1895,NA,C9 H15 N O3,185.1051,186.11237,12.21,NA,No results
Feature1894,NA,C9 H18 N4 O3,230.13767000000001,231.14495,1.328,NA,No results
Feature1893,Υ-L-Glutamyl-L-glutamic acid,C10 H16 N2 O7,276.09558,277.10286,2.063,mzCloud,No results
Feature1892,Adenine,C5 H5 N5,135.05445,136.06172,6.297,mzCloud,No results
Feature1891,NA,C8 H13 N O5,203.07916,204.08643,1.546,NA,No results
Feature1890,NA,C21 H33 N O6 S2,459.17329,460.18057,16.803,NA,No results
Feature1889,NA,C8 H13 N O3,171.08947,172.09675,10.21,NA,No results
Feature1888,[Similar to: 1-O-(28-Oxo-3-{[pentopyranosyl-(1-2)pentopyranosyl-(1-6)-2-acetamido-2-deoxyhexopyranosyl]oxy}olean-12-en-28-yl)hexopyranose; ΔMass: -882.4979 Da],C8 H13 N O5,203.07918,204.08646,1.381,NA,No results
Feature1887,NA,C16 H22 O2,246.1618,247.16907,16.851,NA,No results
Feature1886,NA,NA,785.81656,786.82384,1.11,NA,No results
Feature1885,Prolinamide,C5 H10 N2 O,114.0792,115.08648,1.057,mzCloud,No results
Feature1884,NA,C3 H7 Cl N2 O5 S,217.97619,218.98346,0.976,NA,No results
Feature1883,NA,C19 H34 O3,310.25056,311.25784,19.637,NA,No results
Feature1882,L-Glutathione (reduced),C10 H17 N3 O6 S,307.08357,308.09084,1.535,mzCloud,No results
Feature1881,NA,C6 H8 N2 O2,140.0585,141.06578,2.087,NA,No results
Feature1880,NA,C18 H29 N7 O4,407.22812,408.23539,16.771,NA,No results
Feature1879,NA,C11 H17 N O5,243.11045,261.14428,9.694,NA,No results
Feature1878,NA,C13 H32 N5 O4 P,353.22011,354.22739,16.683,NA,No results
Feature1877,NA,C12 H9 N2 O5 P S2,355.96787,356.97514,6.405,NA,No results
Feature1876,NA,C11 H19 N O2,197.14138,198.14866,14.585,NA,No results
Feature1875,NA,C17 H24 O2,260.17756,261.18483,17.543,NA,No results
Feature1874,Guanine,C5 H5 N5 O,151.04928,152.05656,6.55,mzCloud,No results
Feature1873,NA,C2 H7 N2 O2 P3 S,215.94318,216.95045,0.977,NA,No results
Feature1872,NA,C14 H35 N4 O P,306.25573,307.26301,20.494,NA,No results
Feature1871,NA,C8 H11 N O6,217.05842,235.09224,1.374,NA,No results
Feature1870,NA,C20 H29 N O4,347.20948,348.21675,16.802,NA,No results
Feature1869,NA,NA,751.01081,752.01809,18.154,NA,No results
Feature1868,NA,C11 H21 N O3,215.15193,216.15921,13.3,NA,No results
Feature1867,S-Adenosylhomocysteine,C14 H20 N6 O5 S,384.12132,385.1286,5.875,mzCloud,No results
Feature1866,NA,C4 H4 O2,84.02104,85.02835,1.29,NA,No results
Feature1865,NA,C23 H50 N9 O3 P,531.3768,532.38408,20.213,NA,No results
Feature1864,NA,C6 H11 N O,113.0839,131.11772,1.562,NA,No results
Feature1863,NA,C13 H24 N2 O8,336.15306,337.16033,1.486,NA,No results
Feature1862,NA,C18 H28 O2,276.20876,277.21607,17.971,NA,No results
Feature1861,NA,C24 H31 N O6 S,461.18898,462.19625,17.094,NA,No results
Feature1860,NA,C11 H17 N O8,291.09521,292.10249,1.449,NA,No results
Feature1859,NA,C7 H10 N2 O3,170.06905,171.07632,1.644,NA,No results
Feature1858,NA,C10 H19 N O3,201.1363,202.14358,11.84,NA,No results
Feature1857,NA,C18 H30 N7 O11 P,551.17208,552.17936,6.541,NA,No results
Feature1856,NA,C5 H10 N6 O4,218.07539,219.08267,1.13,NA,No results
Feature1855,NA,C4 H2 Cl N2 O16 P3 S,493.80182,494.80909,1.123,NA,No results
Feature1854,NA,C9 H15 N O7,249.08462,250.0919,1.377,NA,No results
Feature1853,NA,C11 H21 N O7,279.13155,280.13882,1.566,NA,No results
Feature1852,NA,NA,259.88991,260.89719,1.118,NA,No results
Feature1851,NA,C24 H53 N7 O7,551.40289,552.41016,19.636,NA,No results
Feature1850,NA,C11 H21 N3 O5,275.14785,276.15513,1.22,NA,No results
Feature1849,NA,C18 H28 O4,308.19865,309.20593,17.317,NA,No results
Feature1848,NA,NA,269.19483,270.2021,1.19,NA,No results
Feature1847,NA,C9 H19 O11 P,334.06626,335.07354,1.245,NA,No results
Feature1846,NA,C11 H19 N5 O2,253.15363,254.16091,6.398,NA,No results
Feature1845,NA,C8 H18 N2 O2,174.13666,175.14394,1.13,NA,No results
Feature1844,NA,C11 H21 N O3,215.15196,216.15924,14.585,NA,No results
Feature1843,NA,C11 H5 N6 O15 P3 S4,681.78989,682.79717,1.121,NA,No results
Feature1842,α-Methylhistamine,C6 H11 N3,125.09519,126.10247,1.038,mzCloud,No results
Feature1841,NA,C12 H21 N O4 S,275.11889,276.12617,12.841,NA,No results
Feature1840,NA,C11 H20 N2 O4,244.14215,245.14943,7.121,NA,No results
Feature1839,NA,C12 H30 N4 O12 P2,484.13325,485.14052,1.147,NA,No results
Feature1838,NA,C18 H31 N O2,293.23535,294.24256,19.225,NA,No results
Feature1837,NA,C17 H35 N4 O10 P,486.20707,487.21434,6.305,NA,No results
Feature1836,NA,C7 H13 N3 O4,203.09038,204.09766,1.563,NA,No results
Feature1835,NA,C19 H23 N5,321.19384,322.20112,15.887,NA,No results
Feature1834,NA,C7 H15 N O3,161.10508,162.11236,11.293,NA,No results
Feature1833,NA,C10 H18 O3,186.12543,187.13271,11.944,NA,No results
Feature1832,NA,C H2 Cl N4 O7 P3 S,341.85314,342.86042,1.121,NA,No results
Feature1831,NA,C19 H29 N O2,303.21975,304.22703,17.383,NA,No results
Feature1830,NA,C9 H15 N3 O5,245.10089,246.10817,1.565,NA,No results
Feature1829,NA,C10 H16 N2 O6,260.10059,261.10786,1.562,NA,No results
Feature1828,NA,C11 H19 N5 O2,253.15367,254.16094,6.86,NA,No results
Feature1827,NA,C10 H20 O7,252.12071,253.12797,9.151,NA,No results
Feature1826,Cyclo(phenylalanyl-prolyl),C14 H16 N2 O2,244.12091,245.12818,12.605,mzCloud,No results
Feature1825,NA,C13 H32 N5 O2 P,321.23028,322.23755,16.774,NA,No results
Feature1824,NA,C19 H35 N7 O9,505.24924,506.25652,6.414,NA,No results
Feature1823,Indole-3-lactic acid,C11 H11 N O3,205.0737,206.08098,12.101,mzCloud,No results
Feature1822,NA,NA,402.17227,403.17955,18.152,NA,No results
Feature1821,NA,C26 H35 O4 P,442.22534,443.23262,16.472,NA,No results
Feature1820,NA,C9 H15 N3 O5,245.10097,246.10825,2.137,NA,No results
Feature1819,NA,C24 H26 N4 O3 S3,514.1156,515.12288,18.152,NA,No results
Feature1818,NA,C15 H31 N O,241.24035,242.24762,20.894,NA,No results
Feature1817,NA,C10 H14 O3 P2,244.04094,245.04821,1.076,NA,No results
Feature1816,NA,C11 H21 N O2,199.15706,200.16434,14.725,NA,No results
Feature1815,NA,C5 H10 N4 O5,206.06411,207.07139,1.071,NA,No results
Feature1814,Octylphosphonic acid,C8 H19 O3 P,194.10535,195.11262,8.874,mzCloud,No results
Feature1813,NA,C9 H15 N O6,233.08968,234.09696,1.301,NA,No results
Feature1812,NA,C10 H21 N O2,187.15704,188.16432,13.602,NA,No results
Feature1811,NA,C18 H30 O2,278.22439,279.23167,18.331,NA,No results
Feature1810,NP-019401,C11 H15 N O2,215.09045,216.09772,2.157,mzCloud,No results
Feature1809,NA,C25 H49 N6 O11 P,640.31775,641.32502,8.032,NA,No results
Feature1808,NA,C17 H35 N7 S2,401.24095,402.24824,16.147,NA,No results
Feature1807,NA,C7 H12 N2 O4,188.07958,189.08685,1.374,NA,No results
Feature1806,NA,C10 H14 O2,166.09924,184.13304,12.513,NA,No results
Feature1805,NP-003800,C10 H15 N O3,219.0894,220.09668,12.345,mzCloud,No results
Feature1804,Methionine sulfoxide,C5 H11 N O3 S,165.04583,166.0531,1.325,mzCloud,No results
Feature1803,Cytosine,C4 H5 N3 O,111.04315,112.05042,2.289,mzCloud,No results
Feature1802,NA,C11 H20 N2 O4,244.14212,245.14940000000001,6.908,NA,No results
Feature1801,NA,C4 H11 N O3,121.07376,122.08104,1.144,NA,No results
Feature1800,NA,C10 H15 N O5,229.09479,247.12861,6.025,NA,No results
Feature1799,N6-Acetyl-L-lysine,C8 H16 N2 O3,188.11596,189.12324,2.31,mzCloud,No results
Feature1798,NA,C9 H15 N3 O5,245.101,246.10828,1.774,NA,No results
Feature1797,NA,C21 H31 N5 O2,385.24626,386.25351,16.05,NA,No results
Feature1796,NA,C24 H42 N5 O4 P3,557.2441,558.25138,6.474,NA,No results
Feature1795,NA,C11 H21 N O4,231.14684,232.15412,7.459,NA,No results
Feature1794,NA,C11 H17 N O8,291.09519,292.10247,1.406,NA,No results
Feature1793,NA,C20 H37 N O7,403.25673,404.26401,15.752,NA,No results
Feature1792,NA,C12 H32 N5 P,277.24041,278.24769,19.175,NA,No results
Feature1791,NA,C8 H12 N2 O3,184.08467,185.09195,5.518,NA,No results
Feature1790,NA,C11 H30 N6 O8 S,406.1831,407.19037,17.035,NA,No results
Feature1789,NA,C8 H14 O2,142.09927,160.13309,10.442,NA,No results
Feature1788,NA,C11 H20 N2 O6,276.1319,277.13917,1.561,NA,No results
Feature1787,NA,C8 H10 N10 O13 P2,515.9904,516.99767,1.081,NA,No results
Feature1786,NA,C11 H18 N2 O3,226.13157,227.13885,10.493,NA,No results
Feature1785,NA,C10 H33 N10 P3 S,418.18322,419.1905,17.96,NA,No results
Feature1784,NA,C7 H12 O2,128.08363,146.11746,8.597,NA,No results
Feature1783,NA,C10 H18 N2 O5,246.12137,247.12864,2.117,NA,No results
Feature1782,NA,C18 H26 O2,274.19306,275.20033,16.774,NA,No results
Feature1781,NA,C8 H17 N O2,159.1258,160.13308,1.563,NA,No results
Feature1780,1-Methyladenine,C6 H7 N5,149.06869,150.07596,1.208,mzCloud,No results
Feature1779,NA,C9 H16 O2,156.11481,174.14864,12.131,NA,No results
Feature1778,NA,C12 H22 O5,246.14651,247.15379,14.306,NA,No results
Feature1777,NA,C8 H14 N2 O5,218.09011,219.09739,2.17,NA,No results
Feature1776,NA,C18 H31 N O,277.24037,278.24765,19.054,NA,No results
Feature1775,NA,C19 H30 O3,306.21931,307.22659,17.75,NA,No results
Feature1774,NA,C8 H13 N O5,203.07922,204.0865,1.748,NA,No results
Feature1773,NA,C18 H22 N9 P S,427.14711,428.15438,16.803,NA,No results
Feature1772,NA,C13 H24 N10 O4,384.19923,402.23305,11.031,NA,No results
Feature1771,NA,C21 H31 N7 O4 P2 S2,571.1372,572.14448,17.383,NA,No results
Feature1770,NA,C10 H7 N O2,173.0475,174.05477,10.704,NA,No results
Feature1769,NA,C10 H18 N2 O4,230.12641,231.13369,1.469,NA,No results
Feature1768,NA,NA,459.19367,460.20095,17.382,NA,No results
Feature1767,NA,C3 H4 N4 O6 S,223.98486,224.99213,1.334,NA,No results
Feature1766,NA,C17 H22 N2 O7,366.14243,367.1497,7.074,NA,No results
Feature1765,"3-[(4-hydroxyphenyl)methyl]-octahydropyrrolo[1,2-a]pyrazine-1,4-dione",C14 H16 N2 O3,260.11586,261.12314,9.633,mzCloud,No results
Feature1764,NA,C15 H28 Cl N5 O4,377.18408,378.19136,13.169,NA,No results
Feature1763,NA,NA,427.16747,428.17475,17.381,NA,No results
Feature1762,NA,C8 H11 N O5,201.06357,219.09739,2.173,NA,No results
Feature1761,NA,C18 H28 O2,276.20876,277.21604,17.57,NA,No results
Feature1760,NA,C18 H33 N O,279.25595,280.26322,19.778,NA,No results
Feature1759,NA,NA,837.82995,838.83723,1.104,NA,No results
Feature1758,NA,C5 H11 N,85.08911,86.09641,0.996,NA,No results
Feature1757,NA,C11 H21 N O7,279.13163,280.13891,1.916,NA,No results
